Comment,Designator,Footprint,LCSC
"100nF","C1,C2,C3,C4,C5,C6,C7,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1.27P CNX","J1","Connector_PinSocket_1.27mm:PinSocket_1x16_P1.27mm_Vertical",""
"1.27P CNX","J2","Connector_PinSocket_1.27mm:PinSocket_1x24_P1.27mm_Vertical",""
"Piezo Connector","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"MMBT3904","Q1","Package_TO_SOT_SMD:SOT-23","C20526"
"100R","R10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"10K","R1,R2,R3,R4,R5,R6,R7,R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"1K","R9","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"Button DOWN","SW1","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button LEFT","SW2","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button Right","SW3","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button UP","SW4","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button B","SW5","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button X","SW6","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button Y","SW7","Button_Switch_THT:SW_PUSH-12mm","C620359"
"Button A","SW8","Button_Switch_THT:SW_PUSH-12mm","C620359"